"Knowledge","Interest","Algeria","Argentina","Australia","Belgium","Bosnia.and.Herzegovina","Brazil","Cameroon","Chile","Colombia","Costa.Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Ivory.Coast","Japan","Mexico","the.Netherlands","Nigeria","Portugal","Russia","South.Korea","Spain","Switzerland","United.States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Income","Education","Location","ID"
"Intermediate","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male","18-29","$0 - $24,999","Some college or Associate degree","South Atlantic",3307301017
"Advanced","A lot",,,,,,"4",,"4",,,,,,"5","4",,"4",,"5","5",,"5","5",,,"3",,"5","4",,"4",,"5","5","5","3","3","5","5",,"Male","18-29",,"Bachelor degree","Pacific",3307294585
"Expert","A lot",,"4",,"3","3","4",,"4","4","4",,"4","3","3","3",,"3",,"3","4",,"5","4","3",,"3","2","4","4","3","3",,"5","5","5","3","4",,"5","5","Male","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central",3307278839
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,"4",,,"4",,,,,,,,"4",,,,,,"3",,,,"Male","30-44","$50,000 - $99,999","Graduate degree","West North Central",3307272958
"Intermediate","Some",,,,,,,,,,,,,"3","3","4",,"3",,,"4",,"2","4","3",,,,,"3",,"4",,"2","1",,,,,,"3","Male","30-44","$150,000+","Bachelor degree","East North Central",3307270138
"Intermediate","A lot","3","3","3","3","3","3","3","3","3","4","4","3","3","3","3","3","3","3","4","4","3","4","4","3","3","3","3","3","3","4","3","3","2","4","4","3","4","4","3","4","Male","30-44","$150,000+","Graduate degree","Pacific",3307266737
"Expert","A lot",,"4",,"3",,"3",,"3","3","3","3","3","2","4","4",,"4",,,"4",,"3","3","2","3","5",,"3","5","2","3","3","3","4","5","3","4","4","3","3","Male","30-44","$25,000 - $49,999","Bachelor degree","East North Central",3307247979
"Advanced","A lot",,,"3","3",,,,,"3",,,"3","3","4","3",,"4",,"2","5",,"5","4",,,,"2","3","4","3","4",,"5","1","2","4","4",,"2","3","Male","30-44","$100,000 - $149,999","Bachelor degree","West South Central",3307245634
"Advanced","Some","3","4","5","4","3","3","4","4","4","3","3","3","2","4","3","4","3","3","3","3","3","3","3","3","3","4","2","3","4","3","2","4","4","4","4","3","4","3","3","2",,,,,,3307240533
"Intermediate","Some","3","3","3","4","2","3","5","4","4","4","2","2","4","2","3","2","3","3","2","3","3","4","3","3","4","3","3","4","3","3","4","5","3","4","2","3","4","4","5","4","Male","18-29","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic",3307239882
"Intermediate","A lot",,,,,,,,,,,,,"2","3","2",,"2",,,"3",,"5","3",,,,,"2",,,"3",,"4","3",,,"4","1","2",,"Male","18-29","$50,000 - $99,999","Bachelor degree","West South Central",3307233552
"Novice","Some",,,,,,,,,,,,,"4",,"4",,"4",,,"5",,"4","5",,,,,,"5",,"4",,"4",,,,,,,"4","Male","18-29","$50,000 - $99,999","Some college or Associate degree","East North Central",3307222078
"Advanced","Some",,,"3",,,,,,,,,,"2","4","2","3","4",,,"3","4","4","4","3","3","3","4",,"3","2","3",,"3","4","4","2",,"4",,"3","Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific",3307221429
"Novice","Not much",,"5",,"5",,"5",,,"5","5",,,"4","5",,,,,,"5",,,"5",,,"5",,,"5",,"5",,"5","2",,,"5",,,"5","Male","18-29","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic",3307212175
"Novice","Some",,,,,,,,,,,,,"4","4","4",,"4",,,"5",,"4","5",,,,,,"4",,"5",,"5","4","5",,"5",,,"5","Male","18-29","$100,000 - $149,999","Some college or Associate degree","Pacific",3307212143
"Advanced","A lot","4","4","3","3","3","5","4","4","3","4","3","3","3","3","4","3","4","4","4","4","4","4","4","3","3","5","3","3","5","3","3","4","4","4","4","4","5","3","5","4","Male","30-44","$50,000 - $99,999","Graduate degree","New England",3307211811
"Intermediate","Some",,,,,,"4",,,,,,,"2","3",,,"5","2",,"5",,"4","5",,,"4",,,"5",,"5",,"5","5","4",,"4",,,"4","Male","30-44","$25,000 - $49,999","Graduate degree","South Atlantic",3307201979
"Novice","A lot",,,,,,,,,,,,,"4",,,,"5",,,"5",,"4","4","4",,,,,,,"2",,"4","5","4",,,"4",,,"Male","18-29","$0 - $24,999","High school degree","West North Central",3307192535
"Intermediate","A lot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307190437
"Novice","Not much",,,,,,,,,,,,,,"3","3",,,,,"3",,,"3",,,,,,,,"5",,"3",,,,,,,,"Male","18-29",,"Bachelor degree","Mountain",3307188720
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,"3",,"3",,,,,,,,"Male","30-44","$50,000 - $99,999","Bachelor degree","Mountain",3307187401
"Advanced","A lot","4","4","4",,"4","2",,"4","4","3",,"2","1","1","3",,"4","4","3","3","2","1","4","3","4","3","3","3","4","3","1","4","3","4","3","5","4","4","3","2","Male","18-29","$150,000+","High school degree","East North Central",3307158081
"Intermediate","Some",,,,"3",,,,"3",,,,,"4",,"5",,"3","3",,"5",,"2","4",,,"3","3",,"5",,"3",,"2","4","5",,,"3","3","3","Male","18-29","$0 - $24,999","Bachelor degree","West South Central",3307157659
"Advanced","A lot",,"5","5","5","3","5",,"5","5",,"5",,"5","5","5","5","5",,"5","5",,"5","5","5","4","5","5","4","5","5","5","5","5","5","5","5","5",,"4","5","Male","30-44",,"Bachelor degree","South Atlantic",3307130866
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,,"4","4",,,,"3","4","3","4","3",,"3","4","3",,"1",,"3","3",,,,,,3307113969
"Intermediate","Some",,,,,,,,,,,,,"3","4",,,,,,"5",,"5","4",,,,,,,,"4",,"4",,,,,,,"3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central",3307110002
"Intermediate","Some",,"3",,,,"3",,,,,,,"2","3","2",,"4",,,"5",,"2","4",,,,"2","4","4",,"4",,"3","2","4","3","4",,"3","2","Male","30-44","$150,000+","Graduate degree","Middle Atlantic",3307105970
"Intermediate","A lot",,"5","4","4",,"5","4","5","5","5",,"5","3","5","5","4","5","5","4","5","3","5","3","3","4","5","4","5","4","4","5","5","4","5","5","5","5","4","5","3","Male","30-44","$25,000 - $49,999","Some college or Associate degree","New England",3307079617
"Intermediate","Some",,"3",,,,,,,,,,,"3","4","3",,"3",,,"4",,"5","3","3",,"3",,"3","4","4","4",,"3","3","3",,"3",,,"3","Female","> 60",,"Some college or Associate degree","Pacific",3307070883
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307028966
"Intermediate","Some",,,"3",,,"3",,,"3","3",,,"3","2","4",,"3",,,"3",,"3","4",,,,,,"3",,"3",,"3","3","4",,,,"3","3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific",3307013912
"Novice","Not much",,,,,,,,,,,,,,,,,,,,"4",,"3","5",,,,,,,,"5",,"5","4",,,,,,,"Male","18-29","$25,000 - $49,999","Bachelor degree","East South Central",3307007164
"Novice","Some",,,,,,,,,,,,,"3",,,,,,,,,"5","5",,,,,,,,,,,,"3",,"3",,,,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","Mountain",3307003195
"Advanced","A lot",,,"3","4","3","4",,,,"3",,,"2","4","5",,"4",,,"5",,"3","3","3",,"3","2","3","4","3","3",,"2","4","3","3","3","3","4","2","Male","30-44","$50,000 - $99,999","Graduate degree","West North Central",3306994022
"Expert","A lot",,"4","3","4",,"4",,"3","2",,"1","3","3","5","4",,"3",,"1","5",,"5","5","4",,"3","2","4","4","4","5","3","5","3","4","2","3",,"4","3","Male","45-60","$100,000 - $149,999","Graduate degree","East North Central",3306992383
"Intermediate","A lot",,,,,,,,,,,,,"3",,"5",,"4",,,"3",,"5","4",,,,,,,,"3",,"3","4","4",,,"3",,"3","Male","18-29","$150,000+","Some college or Associate degree","East North Central",3306990114
"Intermediate","A lot","2","4","3","3","2","4","2","4","3","3","2","3","3","4","5","1","3","2","1","4","3","4","5","3",,"3","3","3","5",,"5","2","4","4","4","2","4","2","3","3","Male","30-44","$50,000 - $99,999","Bachelor degree","Mountain",3306986753
"Novice","Some","4",,,,,"3",,,,,,,"1","4","2",,"3",,,"4",,"4","4",,,,"1",,,,"3",,,"4","4",,"3","5","3","1","Male","30-44","$100,000 - $149,999","Graduate degree","Pacific",3306985628
"Intermediate","Not much",,"2",,,,"2",,"2","3","2","2","2","3","2","3","2","2","2","2","3",,"4","3","3",,,"2","2","3","3","4","2","4","3","2","2","1","2","2","4","Male","45-60","$100,000 - $149,999","Graduate degree","West North Central",3306985318
"Intermediate","Some","2","3","4","3","2","4","2","3","4","4","2","3","3","4","3","4","4","4","2","4","2","5","5","3","2","4","2","3","4","4","4","4","4","3","4","3","4","2","3","3","Male","45-60","$150,000+","Some college or Associate degree","West South Central",3306981865
"Novice","Some",,,,,,,,,,,,"3",,,"2",,,,,"5",,,,,,"4",,,"4",,"5",,,,,,,,,,"Male","45-60","$150,000+","Some college or Associate degree","Middle Atlantic",3306980283
"Advanced","A lot",,"4","4","4",,"4",,"5","4","4",,"4","2","5","4",,"4","4",,"5","3","5","5","2",,"5","3","3","5","3","4",,"4","4","5",,"5","4","5","3","Male","30-44","$150,000+","Bachelor degree","Pacific",3306976454
"Advanced","A lot","3","5","4","4","3","5","4","4","5","5","3","4","3","5","4","4","4","4","4","5","4","5","4","4","3","5","5","5","5","3","3","4","5","5","5","4","4","4","5","3","Male","45-60",,"Graduate degree","Mountain",3306975357
"Novice","Some",,,,,"3",,,,,,,,"3","3","5",,"3",,,"5",,,"5",,,,"3",,,"3","5",,,,"5",,,,,"5","Male","45-60","$100,000 - $149,999","Some college or Associate degree","East North Central",3306974944
"Intermediate","Some",,,,"2",,"3",,"4","4","3",,"3","3","4","2","4","3","3",,"3",,"3","4",,,,,"2","3",,"4",,"3","2","1",,"4","4",,"3","Male","30-44","$100,000 - $149,999","High school degree","South Atlantic",3306966627
"Advanced","A lot","3","4","3","4","3","4",,"3",,,,,"2",,"3",,"5",,"4","4",,"4","4","4",,"4","3","2","4",,"4",,"4","4","5","4","4","4","4","3","Male","45-60","$100,000 - $149,999","Graduate degree","New England",3306966086
"Intermediate","Some",,,,,"1",,,,,,,,"3",,"4",,"4",,,"3",,"1","4",,,,,,"3",,,,"3","3","5",,,,,,"Male","18-29","$50,000 - $99,999","High school degree","West South Central",3306965859
"Intermediate","Some",,"3","3","3",,"5",,"4","5","4",,,"4","3","3",,"5",,"1","5","3","5","5",,,"3","2","3","3","2","5",,"5","3","4",,"4","1",,"3","Male","30-44","$150,000+","High school degree","West North Central",3306940832
"Intermediate","Some",,"2",,,,,,,,"4",,,"3","4","2",,"2",,,"5",,"3","5",,,,"2","3","3",,"3",,"3","5","5",,"4",,"4","3","Male","45-60",,"Graduate degree","East North Central",3306931072
"Intermediate","A lot",,,,"3",,"3",,,,,,,"4","4","3",,"5",,,"5",,"5","4",,,,"3","3","4",,"3",,"4","4","3","5",,"3","3",,"Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific",3306928892
"Advanced","A lot",,,"4",,,,,,"4","4",,,"3","5","4",,"5",,"5","5",,"4","5",,"3",,,"5","4",,"4",,"5","5","5","5","4","5","5","3","Male","45-60","$150,000+","Graduate degree","Mountain",3306924504
"Novice","Some",,,"3",,,,,"3","3","3",,,"4","4","3",,,,,"5",,"4","5",,,"4","3","4","5",,"5",,"5","3",,,"5",,"3","5","Male","45-60","$100,000 - $149,999","High school degree","Middle Atlantic",3306922607
"Novice","Some",,"4","4",,,,,"4",,,,,"2","3","3",,"3",,,"5",,"3","4",,,,,"2","4",,"4",,"5","2","4",,,,"2","3","Male","45-60","$50,000 - $99,999","Graduate degree","Pacific",3306920677
"Intermediate","Some",,,,,,,,,,,,,"2","2","3",,"3",,,"4",,"4","4",,,,,,,"4","4",,"4","4",,,,,,,"Male","> 60","$50,000 - $99,999","Graduate degree","East North Central",3306911860
"Novice","Some",,,,,,,,,,,,,"3","4","4",,"4",,,"4",,"4","4",,,,,,,,"4",,"4","3","4",,,,"4",,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","Mountain",3306910588
"Intermediate","Some",,,,,,,,,,,,,"3",,"3",,,,,,,"4","5",,,,,,,,"3",,"4","4","3",,,"5","4","3","Male","30-44","$0 - $24,999","Some college or Associate degree","South Atlantic",3306896489
"Advanced","A lot",,"4","3","5","2","4",,"4","3","3","4","3","2","4","3","2","5","2","3","5","3","5","5","4","3","5","4","4","5","3","5","3","4","5","5","4","4","4","5","2","Male","45-60","$150,000+","Bachelor degree","Middle Atlantic",3306893913
"Intermediate","A lot",,"3",,"4",,"3",,,,,,,"4","2","3",,"5",,"3","4",,"4","5",,,,,,"3",,"3",,"4","5","5",,"3",,"4",,"Male","18-29","$100,000 - $149,999","Bachelor degree","South Atlantic",3306873611
"Advanced","Some",,"3","3","3",,"4",,"4","4","4",,,"3","4","4",,"4",,,"4",,"4","4","4",,"4","2",,"4","4","4",,"4","2","3",,,"2","2","3","Male","30-44","$100,000 - $149,999","Bachelor degree","West South Central",3306861740
"Novice","Not at all",,,"4",,,"3",,,,,,,"3",,"4","2","4",,"3","4",,"3","4",,,,,,,,"5",,"3",,,,,,,"3","Male","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic",3306861241
"Novice","A lot",,,,,,,,,,,,,"3","2","3",,"3",,"2","5",,"1","3",,,"3",,"1","4","3","4",,"3","1","2",,"3",,,"3","Male","45-60","$50,000 - $99,999","Bachelor degree","Pacific",3306860174
"Intermediate","Some",,"3","3","3",,"3",,"3","3","3",,"3","3","3","3",,"3","3",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,3306859057
"Intermediate","Some",,,,,,,,,,,,,"3","5","5",,"5",,,"5",,"3","4",,,"4",,"3","4",,"5",,"4","3","5",,,"1",,"4","Male","45-60","$0 - $24,999","Graduate degree","Middle Atlantic",3306856750
"Intermediate","A lot",,"3","3",,,,,,,,,,"3","3","3",,"3",,,"5",,"4","1","4",,"3","1",,"3","3","5",,"3","1",,,"3",,,"3","Male","45-60","$100,000 - $149,999","Bachelor degree","Middle Atlantic",3306855448
"Advanced","Some",,,,,,,,,,,,,"5","4","3",,"3",,,"4",,"4","3",,,,,"3","3",,"4","3","4","4","5",,,,,,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","Mountain",3306853068
"Advanced","A lot","3","4","4","3",,"4","3","5","4","3",,"5","2","4","3",,"5","3",,"5",,"4","4",,,"4","3","2","5","4","4","3","4","3","4",,"4",,"4","3","Male","45-60",,"Some college or Associate degree","Mountain",3306831203
"Intermediate","Some",,,,,,,,,,,,,"2","3","3",,"4",,"2","4",,"4","4","3",,,"1",,"4",,"4",,"4","2","3",,"4",,,"3","Male","45-60","$100,000 - $149,999","Graduate degree","South Atlantic",3306830935
"Novice","Not much",,,,,,,,,,,,,,"2","3",,"4",,,"5",,,"4",,,"4",,,"4",,"5",,"4","2",,,,,,,"Male","45-60","$150,000+","Graduate degree","New England",3306830833
"Novice","Not much",,,,,,,,,,,,,"3",,"3",,,,,"5",,,"3",,,,,,,,"5",,,"1",,,,,,,"Male","30-44","$0 - $24,999","Bachelor degree","New England",3306829845
"Advanced","A lot","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","4","3","4","3","3","2","3","3","3","3","3","5","3","3","3","4","3","3","1","3","3","Male","45-60","$100,000 - $149,999","Graduate degree","South Atlantic",3306822719
"Intermediate","A lot",,,,,,,,,,,,,"4","4",,,,"4",,"4",,"4","4",,,,"4",,"4",,"4",,"4","4","3",,"4","4","3",,"Male","45-60","$0 - $24,999","Some college or Associate degree","Pacific",3306817151
"Intermediate","Some","2","3","4","3","4","3","3","3","3","3","4","3","5","5","4","2","4","3","2","5","2","4","3","3","2","3","4","3","4","3","5","2","5","2","3","3","3","2","4","3","Male","45-60","$100,000 - $149,999","Bachelor degree","West South Central",3306810609
"Advanced","Some",,,,,,"5",,,,,,,"2","5","2",,"5",,"5","5",,"5","5",,,,,"5","5",,"5",,"5","5","5",,,,"5",,"Male","45-60","$0 - $24,999","Bachelor degree","Pacific",3306785904
"Novice","Not at all",,,,"3",,,,"3",,,,,"4","4","3",,,,,"4",,"2","3",,,,,,"4",,"2",,"4","3",,,,,,"3","Male","45-60","$100,000 - $149,999","High school degree","Middle Atlantic",3306762931
"Novice","Not at all",,,,,,,,,,,,,,"3","3",,"3",,,"3",,"3","3",,,,,,,,"3",,"3","3","3",,,,,,,,,,,3306757329
"Intermediate","A lot",,,,"4",,,,,,,,,"2","4","2",,"5",,,"5",,"3","4",,,,"2","3","4",,"4",,"4","5","5","4","3","5","4","4","Male","45-60","$50,000 - $99,999","Bachelor degree","Mountain",3306757245
"Advanced","Not much","2","4","4","4","2","4","3","3","2","5","4","1","3","2","3","3","2","4","3","3","4","5","3","2","3",,,"1","2","1","3","4","3","4","3","2","4","3","2","4","Male","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic",3306756801
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,"3","4",,,,,,,,"4",,"3","3","4",,,,"3","3",,,,,,3306752369
"Novice","Some",,,,,,,,,,,,,,"3","3",,"3",,,"3",,"3","3",,,,,,,,"3",,"3","3","3",,,,,,"Male","45-60",,"Bachelor degree","Pacific",3306752043
"Advanced","Some","3","3","4","3","3","3","3","3","3","3","4","3","4","4","3","3","4","3","3","3","3","5","4","4","3","4","4","4","4","4","4","4","4","3","4","3","4","3","3","4","Male","30-44",,"Graduate degree","South Atlantic",3306748802
"Advanced","Some",,,,,,,,,,,,,,"4","5",,,,,"5",,"5","5",,,,,"5",,,"5",,"5","3",,,"5",,"4","5","Male","30-44",,,"South Atlantic",3306741884
"Expert","A lot","4","4","2","4","3","4","4","4","4","4","3","4","3","5","3","4","5","4","4","4","4","5","4","3","4","4","2","5","5","3","3","3","5","5","5","4","4","4","5","2","Male","45-60","$50,000 - $99,999","Bachelor degree","East North Central",3306719947
"Advanced","A lot",,,,,,,,,,,,"3","2","5","2",,"4",,,"5",,,"5",,,,"2","4","4",,"3",,"5","5","4",,"4","3","4","3","Male","45-60","$25,000 - $49,999","Bachelor degree","Middle Atlantic",3306715049
"Advanced","A lot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306705470
"Advanced","A lot",,"3","3","3","3","4",,"3","3","4","3","3","2","4","3",,"3","3","3","4",,"5","4","3",,"4","3","3","4","3","3","3","4","5","5","3","3","4","5","2","Male","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic",3306700381
"Advanced","A lot",,,,"4",,,,,"4",,,"4","2","5","3",,"4","4",,"5",,"4","4","2",,,,"4","4","4","3",,"4","5","5","4","4","4","4","3","Male","18-29","$25,000 - $49,999","Bachelor degree","West North Central",3306692523
"Novice","Not much",,,,,,,,,,,,,,,,,"3",,,"3",,,"3",,,,,"4",,,"4",,"4","3",,,,,,"3","Male","45-60","$150,000+","Graduate degree","Pacific",3306684028
"Intermediate","Some",,,"3",,,,,,,,,,"3","5","4",,"4",,,"4",,"3","4",,,,,,,,"4",,"4","4","4",,,,,"3","Male","45-60","$50,000 - $99,999","Bachelor degree","Pacific",3306678877
"Novice","Not much","1","3","4","3","1","3",,"3","3","3","1","3","3","2","3","3","3","3","1","3",,"3","3","4","2","3","3","2","3","4","5","3","3","1","3","2","3","2","2","4","Male","45-60","$25,000 - $49,999","High school degree","West South Central",3306676227
"Advanced","A lot","3","4","3","3",,"4",,"4","4","3",,"4","3","5","5","3","5","3","4","5",,"5","5","3",,"4","3",,"5","4","5","3","3","5","5","5","4","4","4","3","Male","30-44","$25,000 - $49,999","Bachelor degree","Mountain",3306673289
"Intermediate","Some",,,,,,,,,,,,,"3","4","3",,"4",,,"5",,"4","4",,,,,"3",,"3","5",,"5","5","5",,"4",,,,"Male","45-60",,"Bachelor degree","South Atlantic",3306672594
"Advanced","Some",,"4","2","4",,"4",,"4","3",,"3","3","2","5","3",,"4",,"3","5",,"5","4",,,"3","3","4","4","3","3",,"2","4","4","4","4","2","4","3","Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic",3306663840
"Expert","A lot",,,"3",,,,,,,"4",,,"3","5",,,"4",,,"5","4","4","5",,,"4",,"2","4","4","3",,"4","4","3","4","3",,,"3","Male","30-44","$25,000 - $49,999","Bachelor degree","Pacific",3306662406
"Advanced","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306661982
"Advanced","A lot","3","3","4","4","3","4",,"3","3",,"3",,"4","4","4","3","5","3","4","5",,"4","4","4","3","4","3","3","4","4","3",,"4","5","5","4","3","3","4","4","Male","45-60","$0 - $24,999","Some college or Associate degree","Middle Atlantic",3306652375
"Intermediate","Some",,,,,,"4",,,,,,,"3","4","4",,,,,"5",,"3","4",,,"3","5","4","4",,"5",,"4","4","4",,"4",,,"3","Male","30-44","$50,000 - $99,999","Graduate degree","South Atlantic",3306635298
"Novice","Some",,,,,,"3",,,,,,,,"3","3",,"3",,,"5",,,"4",,,,,,"3",,"4",,"3",,,,,,,"3","Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific",3306635009
"Novice","A lot",,"3",,,,"3",,"3",,"3",,,"3","3",,,"4",,,"5",,"5","4",,,,,,"3",,"5",,"2",,,"3","4",,,,,,,,,3306629529
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male","30-44",,"Some college or Associate degree","South Atlantic",3306625815
"Novice","Some","1","3","5","3",,,"1",,,,"3",,"3","2","5","1","3","1",,"5","1","1","3","4","1","2","1","1","3","5","3",,"1",,"1",,,"1","1","3","Male","45-60","$25,000 - $49,999","Bachelor degree","East North Central",3306623513
"Novice","A lot",,"4",,,,"4",,"3",,"3",,,"3","3",,,"4",,,"5",,"5","4",,,,,,"3",,"5",,"2",,,"3","4",,,,"Male","18-29",,"Some college or Associate degree",,3306623258
"Intermediate","Some",,"4","3","4",,"4",,"4",,,,,"3","5","4",,"5",,"4","4",,"5","5",,,"4","3","5","4","5","5",,"4","4","4",,"5",,"5","3","Male","45-60","$150,000+","Some college or Associate degree","Pacific",3306623144
"Intermediate","A lot","4","5","3","4","3","5","3","5","5","5","4","5","3","5","3","4","5","5","2","5","2","5","5","2","3","4","3","5","5","3","2","5","5","5","5","3","5","3","5","3","Male","30-44","$25,000 - $49,999","High school degree","West South Central",3306618739
"Novice","Not much",,,,,,,,,,,,,"4","4","4",,"4",,,"4",,"3","3",,,,,,,,"3",,,,,,"4",,,"3","Male","45-60","$100,000 - $149,999","Bachelor degree","East North Central",3306612454
"Novice","Not much",,,,,,,,,,,,,"3","4","4",,"4",,,"4",,"2","4",,,,,,"3",,"4",,"4","2",,,,,,"3","Male","45-60",,"Some college or Associate degree","Middle Atlantic",3306601230
"Expert","A lot",,"4",,,,"5",,"4","4",,,"4","2","5","5",,"4","3","3","4",,"5","4",,,"5","3","3","5",,"5","3","4","5","5","4","4",,"3","3","Male","30-44","$100,000 - $149,999","Graduate degree","Pacific",3306599228
"Novice","Not much",,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,"4",,,,,,,,,,"Male","18-29","$25,000 - $49,999","Graduate degree","West North Central",3306595836
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,"Male","45-60","$25,000 - $49,999","High school degree","East North Central",3306590553
"Novice","Some",,"4","4","4",,"4",,"3","4","3",,,"3","3","4",,"4",,,"5",,"3","4","4",,"4","3",,"4","4","5",,"3","2",,"3","4",,"2","5","Male","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic",3306584582
"Novice","Some",,"3",,"3",,,,,,"3",,"3","3","3",,,,,"1","4",,,"3",,,,,,"4",,"5",,"2","1",,,,,,,"Male","18-29","$0 - $24,999","Graduate degree","East North Central",3306583687
"Novice","Some",,,,,,,,,,,,,"4","5","4",,"4",,,"5",,"4","5",,,,,,"3",,"5",,"2",,,,"4",,,,"Female","18-29","$100,000 - $149,999","Some college or Associate degree","South Atlantic",3306582570
"Novice","Some",,,"4",,,,,,,,,,"3","3","4",,"3",,,"3",,"4","3",,,"3",,,,,"4",,"4","2","3",,"2",,"2","3","Male","45-60","$50,000 - $99,999","High school degree","West South Central",3306572025
"Advanced","A lot",,,,"3",,"5",,,"4",,,,"4","5","3",,"3","4",,"5",,"5","4","3",,,"3","4","4",,"4",,"2","5","5","5","4","4","4","4","Male","18-29","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic",3306561181
"Novice","Not much",,,"3",,,"3",,,,,,,"4","2","3",,"3",,,"4",,"3","4",,,,,,"3",,"4",,"4",,"3","3",,,"3","3","Male","45-60","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3306558997
"Intermediate","Some",,,,,,,,,,,,,"2","3","3",,"3",,,"5",,"3","3",,,"4",,"4","4","3","4",,"4","2","2",,"4",,,,"Male","30-44","$150,000+","Graduate degree","Middle Atlantic",3306557467
"Novice","Some",,"3",,"3",,"3",,"3","3","4",,"3","3","4","4",,"3",,"2","5",,"5","5",,,"3",,,"4",,"4",,"4","3","4",,"3",,,"3","Female","18-29","$0 - $24,999","Some college or Associate degree","East South Central",3306552316
"Advanced","A lot",,,"4","5",,,,,,,,,"4","5","5",,"3",,,"4",,"2","1","4",,,"4","3","3","4","1",,"2","1","3","4",,"3","4","3","Male","18-29",,"Some college or Associate degree","South Atlantic",3306550349
"Advanced","Some",,"3",,,,"3",,"4",,,,,"1","4","4",,"3",,,"5",,"4","5",,,,"3","4","3",,"5",,"5","3","5",,"4",,"5","3","Male","45-60","$0 - $24,999","Some college or Associate degree","West South Central",3306546939
"Intermediate","Some",,,,,,,,,,,,,,,"3",,,,,"3",,,"3",,,,,,,,"3",,"4","4",,,,,,,"Male","45-60","$50,000 - $99,999","Bachelor degree","East North Central",3306540622
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306538993
"Novice","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","East South Central",3306536689
"Intermediate","Some",,,,,,,,,,,,,"3","3","2",,"3",,,"4",,"4","4",,,,,,"4","3","4",,,"4","4",,"5","3","4","3","Male","30-44",,"Graduate degree","South Atlantic",3306533699
"Intermediate","Not much",,,,"3","3","3",,,,"3",,"3","3","3","3",,"3",,,"3",,"3","3","3",,"3","3","3","3","3","3","3",,"2","3","3","3",,"3","3",,,,,,3306533159
"Novice","Not at all",,,,,,,,,,,,,,,"4",,,,,"5",,,,,,,,,,,"4",,,"1",,,,,,,,,,,,3306531454
"Novice","Not at all",,,,,,,,,,,,,,,"4",,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,3306530370
"Novice","Some",,,,,,"5",,,,"4","5",,"4","5","3",,"5",,,"5",,"5","4",,,,,,"4",,"4",,"4","5","5",,"4","5",,"3","Male","45-60","$100,000 - $149,999","Graduate degree","Mountain",3306530070
"Intermediate","Some",,,,,,,,,"4","4",,"4","3","3","3",,"3","4",,"5",,"4","4",,,,,,,,"5",,"4","3",,,,,"3","3","Male","> 60","$50,000 - $99,999","Graduate degree","New England",3306529721
"Intermediate","Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306529265
